FID,OBJECTID,SHAPE,ANL_NAME,BEZIRK,FLAECHE,OEFF_ZEITEN,SPIELEN_IM_PARK,WASSER_IM_PARK,HUNDE_IM_PARK,TELEFON,WEBLINK1,SE_ANNO_CAD_DATA
PARKINFOOGD.1906646,1906646,POINT (16.33074576195914 48.217557180626414),PA Ortliebgasse,17,4.485 m²,7:00-19:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906647,1906647,POINT (16.31211396349006 48.231022776625416),Moriz-Mayer-Park,17,2.661 m²,0:00-24:00,Ja,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906648,1906648,POINT (16.3259442369253 48.21480314012071),Lorenz-Bayer-Park,17,7.360 m²,6:00-22:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906649,1906649,POINT (16.32401189225326 48.22496263519882),Christine-Nöstlinger-Park,17,15.991 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906650,1906650,POINT (16.3036147686144 48.22920325628753),Josef-Kaderka-Park,17,5.335 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906651,1906651,POINT (16.31504369902496 48.23211895294388),Fuchupark,17,5.393 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906588,1906588,POINT (16.37920582281434 48.1525418829679),PA Rädda-Barnen-Platz,10,908 m²,0:00-24:00,Ja,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906589,1906589,POINT (16.390146747262175 48.158352170944305),PA Endlichergasse,10,22.087 m²,0:00-24:00,Ja,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906590,1906590,POINT (16.37845472346649 48.173458132122185),PA Reumannplatz,10,10.581 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906591,1906591,POINT (16.365620244380054 48.16598388698045),PA Rudolfshügelgasse,10,3.301 m²,Ballspielkäfig+Spielplatz: 6:00-21:00,Ja,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906592,1906592,POINT (16.386145653636216 48.17240369756733),Puchsbaumpark,10,5.704 m²,Ballspielplatz 6:00-21:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906593,1906593,POINT (16.387497499729367 48.14573848327613),PA Ada-Christen-Gasse,10,25.007 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906594,1906594,POINT (16.36853503480539 48.170887611154484),PA Paltramplatz,10,2.694 m²,6:00-21:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906595,1906595,POINT (16.352205185253254 48.155808404786406),PA Otto-Probst-Straße,10,11.658 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
